Device,Current (mA),Timestamp
INA219,11.000,2022-06-16 18:06:22.153097+00:00
INA219,11.300,2022-06-16 18:06:22.599197+00:00
INA219,11.400,2022-06-16 18:06:23.166212+00:00
INA219,11.200,2022-06-16 18:06:23.611311+00:00
INA219,11.000,2022-06-16 18:06:24.182787+00:00
INA219,11.000,2022-06-16 18:06:24.636255+00:00
INA219,11.100,2022-06-16 18:06:25.195478+00:00
INA219,10.900,2022-06-16 18:06:25.662635+00:00
INA219,11.300,2022-06-16 18:06:26.219754+00:00
INA219,11.000,2022-06-16 18:06:26.689982+00:00
INA219,11.100,2022-06-16 18:06:27.249858+00:00
INA219,11.200,2022-06-16 18:06:27.714796+00:00
INA219,10.900,2022-06-16 18:06:28.275564+00:00
INA219,10.900,2022-06-16 18:06:28.743800+00:00
INA219,11.000,2022-06-16 18:06:29.302870+00:00
INA219,10.900,2022-06-16 18:06:29.770497+00:00
INA219,11.200,2022-06-16 18:06:30.332069+00:00
INA219,11.100,2022-06-16 18:06:30.795522+00:00
INA219,11.000,2022-06-16 18:06:31.350742+00:00
INA219,11.400,2022-06-16 18:06:31.818522+00:00
INA219,11.000,2022-06-16 18:06:32.378576+00:00
INA219,11.000,2022-06-16 18:06:32.842478+00:00
INA219,11.100,2022-06-16 18:06:33.400045+00:00
INA219,10.900,2022-06-16 18:06:33.864890+00:00
INA219,11.200,2022-06-16 18:06:34.424727+00:00
INA219,10.800,2022-06-16 18:06:34.892791+00:00
INA219,11.200,2022-06-16 18:06:35.451319+00:00
INA219,11.200,2022-06-16 18:06:35.918244+00:00
INA219,11.300,2022-06-16 18:06:36.473470+00:00
INA219,10.800,2022-06-16 18:06:36.935451+00:00
INA219,11.400,2022-06-16 18:06:37.496286+00:00
INA219,11.300,2022-06-16 18:06:37.960626+00:00
INA219,11.300,2022-06-16 18:06:38.519347+00:00
INA219,11.000,2022-06-16 18:06:38.975522+00:00
INA219,11.300,2022-06-16 18:06:39.539219+00:00
INA219,11.000,2022-06-16 18:06:39.988293+00:00
INA219,11.200,2022-06-16 18:06:40.547475+00:00
INA219,11.200,2022-06-16 18:06:41.014109+00:00
INA219,11.000,2022-06-16 18:06:41.576077+00:00
INA219,11.300,2022-06-16 18:06:42.028993+00:00
INA219,11.000,2022-06-16 18:06:42.589454+00:00
INA219,11.100,2022-06-16 18:06:43.056037+00:00
INA219,11.100,2022-06-16 18:06:43.615860+00:00
INA219,11.100,2022-06-16 18:06:44.084313+00:00
INA219,11.000,2022-06-16 18:06:44.645033+00:00
INA219,11.000,2022-06-16 18:06:45.112727+00:00
INA219,10.900,2022-06-16 18:06:45.653535+00:00
INA219,11.000,2022-06-16 18:06:46.132283+00:00
INA219,11.200,2022-06-16 18:06:46.697077+00:00
INA219,10.900,2022-06-16 18:06:47.164097+00:00
INA219,11.100,2022-06-16 18:06:47.722094+00:00
INA219,10.900,2022-06-16 18:06:48.176406+00:00
INA219,11.000,2022-06-16 18:06:48.732096+00:00
INA219,11.000,2022-06-16 18:06:49.199238+00:00
INA219,11.300,2022-06-16 18:06:49.758502+00:00
INA219,11.100,2022-06-16 18:06:50.212051+00:00
INA219,11.300,2022-06-16 18:06:50.775237+00:00
INA219,11.000,2022-06-16 18:06:51.239039+00:00
INA219,10.900,2022-06-16 18:06:51.799888+00:00
INA219,11.200,2022-06-16 18:06:52.261891+00:00
INA219,10.900,2022-06-16 18:06:52.822316+00:00
INA219,10.800,2022-06-16 18:06:53.289470+00:00
