Device,Voltage,Percentage,Timestamp
LC709203F,3.632,96.900,2022-06-16 18:06:22.185104+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:22.631204+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:23.197219+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:23.643319+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:24.214973+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:24.668631+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:25.227778+00:00
LC709203F,3.632,96.900,2022-06-16 18:06:25.693301+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:26.250525+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:26.721856+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:27.280693+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:27.745813+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:28.306682+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:28.775158+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:29.334951+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:29.801479+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:30.362870+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:30.826176+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:31.381283+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:31.850049+00:00
LC709203F,3.634,96.800,2022-06-16 18:06:32.409420+00:00
LC709203F,3.632,96.800,2022-06-16 18:06:32.873571+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:33.430743+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:33.896292+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:34.455838+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:34.923891+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:35.482020+00:00
LC709203F,3.634,96.700,2022-06-16 18:06:35.949014+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:36.504046+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:36.966922+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:37.527475+00:00
LC709203F,3.634,96.700,2022-06-16 18:06:37.991869+00:00
LC709203F,3.634,96.700,2022-06-16 18:06:38.550018+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:39.007419+00:00
LC709203F,3.632,96.700,2022-06-16 18:06:39.570020+00:00
LC709203F,3.634,96.700,2022-06-16 18:06:40.019454+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:40.578264+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:41.045554+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:41.608084+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:42.058999+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:42.622018+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:43.086180+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:43.646324+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:44.116162+00:00
LC709203F,3.632,96.600,2022-06-16 18:06:44.676328+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:45.143331+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:45.684398+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:46.163247+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:46.729376+00:00
LC709203F,3.634,96.600,2022-06-16 18:06:47.194330+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:47.753506+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:48.207895+00:00
LC709203F,3.632,96.500,2022-06-16 18:06:48.763190+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:49.230202+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:49.790687+00:00
LC709203F,3.632,96.500,2022-06-16 18:06:50.244011+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:50.805869+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:51.269964+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:51.831111+00:00
LC709203F,3.632,96.500,2022-06-16 18:06:52.293831+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:52.852996+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:53.320178+00:00
LC709203F,3.634,96.500,2022-06-16 18:06:53.882214+00:00
LC709203F,3.632,96.500,2022-06-16 18:06:54.349493+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:54.910044+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:55.377618+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:55.933430+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:56.398337+00:00
LC709203F,3.634,96.400,2022-06-16 18:06:56.957051+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:57.423836+00:00
LC709203F,3.634,96.400,2022-06-16 18:06:57.987217+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:58.449617+00:00
LC709203F,3.632,96.400,2022-06-16 18:06:59.008201+00:00
LC709203F,3.634,96.400,2022-06-16 18:06:59.474041+00:00
