Device,Voltage,Percentage,Timestamp
MAX17043,3.641,129.617,2022-06-16 18:06:22.169100+00:00
MAX17043,3.642,129.617,2022-06-16 18:06:22.615201+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:23.181215+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:23.627315+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:24.198155+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:24.653429+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:25.212180+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:25.677913+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:26.235334+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:26.706840+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:27.265080+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:27.731069+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:28.291598+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:28.759609+00:00
MAX17043,3.642,129.301,2022-06-16 18:06:29.318910+00:00
MAX17043,3.642,129.301,2022-06-16 18:06:29.786910+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:30.347590+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:30.810933+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:31.365948+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:31.834175+00:00
MAX17043,3.641,129.141,2022-06-16 18:06:32.394016+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:32.858208+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:33.415604+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:33.880019+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:34.440044+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:34.908246+00:00
MAX17043,3.641,128.824,2022-06-16 18:06:35.466471+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:35.933649+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:36.488101+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:36.951307+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:37.512199+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:37.976706+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:38.534900+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:38.991526+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:39.554934+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:40.004454+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:40.563932+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:41.029697+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:41.592080+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:42.043996+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:42.604916+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:43.071207+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:43.630678+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:44.100605+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:44.661617+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:45.127582+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:45.668752+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:46.148134+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:46.713384+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:47.178917+00:00
